40	"#dallavostraparte non ci sono moderati,sono tutti terroristi pronti a tagliarci la testa e per questo io li odio a morte!"
41	"Unica soluzione è cacciare TUTTI i musulmani NON integrati fino alla 3a gen che si ammazzassero nei loro paesi come fanno da secoli MALATI!"
42	"Papa accogliere 3% cacciare cacciare clandestini islamici rom difendere Italia e italiani://www."
43	"Roma: rom chiedevano il pizzo da 2 anni, ristoratore esausto li uccide a colpi di mitra https://t.co/ZzFM3TgUWE Bravooo"
44	"LE BESTIE: A CALCI VIA DALL'ITALIA! Trieste, calci e pugni fino a sfigurarla: picchiata dai rom per vendetta… https://t.co/iNYQXRov7c"
45	"@QuintaColonnaTv @GiorgiaMeloni a casa tutti quanti islamici musulmani clandestini e zingari! C'è poco da fare ! VIA TUTTI!"
46	"@7novembre2015 Ma abbettere i campi rom e spedire tutti i rom in Siberia nn costerebbe di meno a noi contribuenti?🤔 https://t.co/AeuOilrWhz"
47	"@COISPpolizia @ilgiornale Dovrebbero sterilizzarlo tutti i rom"
48	"@Ariachetira i rom non devono esistere non possono fare ciò che vogliono protetti da associazioni no profitto che vivono sui nostri soldi"
49	"#LeIene #bosnia e #kosovo base per terroristi. Grazie USA. Aveva ragione #slobo"
50	"@cicapingui @Piovegovernolad @ilPontormo #no c'è bisogno di fare figli X sconfiggere l'islam, basta non farlo entrare nel nostro paese"
51	"Al Sud più poveri italiani che stranieri vanno alla #Caritas. Chi dal Nord urla ""prima gli italiani"" sarà contento: c'è riuscito"
52	"@andreasantoro_9 anche quando amministravate, il mun. IX meritava impegno. Invece ve ne siete fregati. EUR ridotto in campo rom"
53	"Roma: banda di rom gli chiedeva il pizzo da 2 anni, ristoratore esausto li uccide a colpi di mitra - https://t.co/cFfUgJpvc9 via @saolinigm"
54	"Bellissimo post sulle cause e conseguenze dell'immigrazione,  da leggere!!! https://t.co/XFOA9iRM43"
55	"@fattoquotidiano facciamo tutti come trump niente di straniero a meno che non si alza il prezzo niente turisti americani e aziende americane"
56	"@senateurJGM @EnricoLetta Gentiloni,da Libia ove Is sembra contare meno proviene maggior numero migranti.Lei dov'è,a fare campagna per sì?"
57	"Vi comprendiamo #USA,anche in #Italia, per decenni, una potenza straniera interferi' in campagna elettorale, VOI!"
58	"Che bella Europa non solo ci lascia soli davanti alla tragedia dei migranti costringendoci ad indebitarci per salvarli ed assisterli grazie"
59	"@Libero_official Quando se ne va affanculo questo terrorista Islamico?! il suo partito ha perso, è il momento per lui di fare le valigie !"
60	"Amigi italiani perché  #SanFrancesco era povero e avere fatto santo e noi immigrati poveri odiare noi? Perché io no parlare con animali?"
61	"#charliehebdo dopo la vignetta su Amatrice,ora quella su Rigopiano: entrambe non hanno nulla di satirico. È merda. Giustifico gli islamisti"
62	"Trovato in Croazia il tesoro della “regina” rom: sequestro da 6 milioni di euro:"
63	"si cazzeggia su programmi TV ma battute su immigrazione che è una cosa seria anche no, su! Ilir sarà albanese ma voi coglioni  #domenicalive"
64	"@rep_roma @repubblicait nella domenica antismog anche i rom dei campi abusivi di torre spaccata dovrebbero smettere di emanare fumi tossici"
65	"Il 15 gennaio 2015 le finte cooperanti Greta e Vanessa sequestrate da terroristi jihadisti, furono liberate dopo... https://t.co/SwdWPJagmx"
66	"Tante delegazioni ecumeniche e anche i rappresentanti della comunità islamica #PapaInGeorgiap... https://t.co/fn7iUeIhKx @antoniospadaro"
67	"#dallavostraparte mattarella,ma non ti vergogni come avete distrutto Italia con questi rom?Essendo presidente,Italia che futuro avrà?"
68	"Nuovi reparti alla #Lidl, da domani ci saranno gli escape rom"
69	"#dallavostraparte Ma il bosniaco rom invece di pensare alla politica italiana perché nn torna a Sarajevo?Ditegli che la guerra è finita"
70	"#StevenWoolfe  https://t.co/aNejEUUEY0  Tutto ciò... Indovinate per colpa di chi? Ma dei #migranti , naturalmente... 😊👍  #Risorse"
71	"@COISPpolizia agente della polizia locale ucciso da un nomade a Milano non ha preso nessun risarcimento è giustizia questa?"
72	"A tutti i non musulmani dell'isis, vi sentite forti adesso?  Bravi coglioni! #Berlino"
73	"Facciamo partecipare i ""leader rom"" anche al prossimo G8. https://t.co/mWl7HiFAJ6"
74	"@MarkGio1i secondo te il problema è Erdogan e non i terroristi curdi? animali che hanno fatto 2 attentati solo nell'ultima settimana? Bravo"
75	"Meglio morto che islamico... https://t.co/WOgGMW9jWg"
76	"Fuori gli stranieri dall'Italia!, urlò il giovane attivista politico che indossava una maglia con la foto di Icardi"
77	"Buongiorno a quella gente là di #Goro a cui dovremmo dire tutti in coro ""Fate le barricate pè i migranti? 'Nnatevene affanculo tutti quanti"""
78	"quanto sono carine le rom della #Lidl ?!"
79	"Renzi ogni immigrato deve vivere in un monologale con bagno personale con mensa comune internet e pulmino per fargli girare l'ITALIA  bella"
80	"#Gorino Alla fine questi profughi l'hanno scampata bella. Vi immaginate avere tali soggetti come vicini di casa? https://t.co/Bl333F1n7u"
81	"#coffeebreakla7 PD e riforma Cost.ancora una volta prende in giro italiani, come l'immigrazione voluta dal'UE per impoverire nostro Paese."
82	"Identificato l'autore della rapina all'anziano di Annone Veneto: è un giovane nomade https://t.co/RAk00wQgfY #venezia"
83	"#berlinoattack mi pareva strano che ancora non si fossero trovati i documenti.. #terroristiDistratti  #falseflag https://t.co/S9W4rOYmib"
84	"Se tutti quelli che pontificano su #Gorino accogliessero un migrante in casa l'emergenza finirebbe in tre secondi."
85	"Con tutto il rispetto per gli immigrati, la memoria delle vittime dei luoghi di lavoro...???? I nove lavoratori,... https://t.co/k1Rxfn8piO"
86	"Fonte : ""responsabili prima accoglienza migranti""  TUTTI HANNO IL CELLULARE   🔹Chi glielo ha dato❓  🔹Che SIM hanno visto che chiamano da 🇮🇹❓"
87	"Oh guarda caso il terrorista di Berlino era in Italia......"
88	"5.600 migranti soccorsi in un giorno https://t.co/NitwXPwIJ2 via @ilpost Chiamateli pure #clandestini."
89	"Uffa con queste indagini ""monche"" sui terroristi che fanno proselitismo in carcere;  il campo di applicazione del 41 bis anche a loro."
90	"Carabiniere libero dal servizio sventa un furto fuori Roma: arrestate due rom - https://t.co/L7lFVj2k0g https://t.co/3OddLOsS9b"
91	"@rossanarossana4 @sarettaa7 Al momento i ""bianchi"" vengono discriminati un po' in tutto il mondo a favore di rom,ne… https://t.co/gXpjr4hvvL"
92	"Ceprano- Arpino-Pontercorvo, retata 5 di nomadi donne dopo un pericoloso inseguimento in A1... #news #Ciociaria https://t.co/oWvkQrlauF"
93	"Cronaca Milano: Ruba in casa e prende anche l’urna cineraria Monza, arrestata nomade incinta https://t.co/n7ULSN71Z6 #milano"
94	"In Italia, tanti campano e si arricchiscono sugli #immigrati: Delinquenti, Imprenditori e pseudo Cooperative. @EnricoMentana @TgLa7"
95	"Roma, la Raggi spende 12 milioni per i campi rom https://t.co/V5qott8rOi"
96	"Degrado capitale. Due nomadi si lavano in pieno giorno tra i passanti a San Paolo IL VIDEO #roma… https://t.co/3F7AMwi1MB"
97	"#Roma Ondata di controlli antiborseggio in #Centro: arrestati otto nomadi, 6 sono minorenni https://t.co/Venc2n0eYU"
98	"@mary1966n @carmentpf @maccarimiranda un gruppo di cittadini ha sgomberato uno stabile occupato da rom buttando in strada tutto...."
99	"I migranti hanno sempre il posto e non pagano https://t.co/1hudPuLnRY"
100	"@giucruciani a # bianconero diffende i due sequestratori della donna #rom. Voglio vedere se la #rom era sua sorella o sua figlia. Vergogna!"
101	"Trieste, profughi cacciano disabile dal bus: arrivano le pattuglie di Forza Nuova sui mezzi pubblici https://t.co/iFVUYS7WzA"
